Crime_ID,City,Date,Time,Crime_Type,Location,Latitude,Longitude,Crime_Severity,Police_Response_Time_Minutes,Resolved,Suspect_Arrested,Ride_ID,Ride_Date,Ride_Time,Pickup_Location,Drop_Location,Ride_Duration_Minutes,Distance_KM,Ride_Fare_INR,Ride_Surge_Pricing_Factor,Driver_Rating,Ride_Cancellation_Status,Weather_Temperature_C,Weather_Rainfall_mm,Weather_Visibility_KM,Weather_Humidity_%,Weather_Wind_Speed_KMH,Weather_Condition,Traffic_Congestion_Level,Traffic_Avg_Speed_KMH,Road_Accidents_Reported,Nearby_CCTV_Cameras,Uber_Ola_Route_Overlap,Public_Complaints,Time_of_Day,Passenger_Gender,Num_Police_Stations_Nearby
40,Delhi,13-10-2024,12:38,Theft,Dwarka,28.37932768,77.79570123,7,12,1,1,20683,08-12-2024,00:44,Lajpat Nagar,Bandra,115,5.287649251,712.5504154,1,3.8,Completed,39.05990994,0,9.809515749,21,46,Foggy,3,15.62106766,2,4,1,4,Evening,Other,3
41,Delhi,05-04-2024,03:06,Fraud,Karol Bagh,27.52371775,75.08595887,1,49,1,1,95692,26-07-2024,09:35,Colaba,Andheri,43,28.13877009,846.4922233,1,1,Completed,26.1809666,0,1.858516079,52,34,Sunny,7,36.48347751,4,1,1,5,Afternoon,Female,4
42,Delhi,25-02-2024,12:13,Fraud,Dwarka,23.32008626,74.84214679,3,48,1,0,51392,14-07-2024,13:26,Juhu,Saket,59,23.82563769,715.1085334,1.2,1,Completed,21.67579125,30,3.890964072,83,40,Cloudy,1,13.46060258,2,5,1,6,Afternoon,Other,2
43,Mumbai,05-02-2023,06:07,Fraud,Juhu,24.54818775,76.53272286,10,41,1,1,15334,06-07-2023,15:05,Juhu,Dadar,62,12.94353145,626.3769964,1.5,4.9,Completed,16.20010911,0,3.120107337,50,17,Cloudy,6,53.69056121,2,5,1,2,Morning,Other,0
44,Mumbai,14-11-2023,18:18,Burglary,Dadar,24.10764919,77.28174758,7,29,1,1,84046,23-06-2023,16:26,Andheri,Bandra,51,4.33933337,,1,2.1,Completed,38.51822605,10,8.007060282,84,10,Cloudy,5,28.31191579,4,9,1,4,Evening,Female,3
45,Mumbai,13-07-2023,05:55,Theft,Karol Bagh,21.78737918,77.78487478,6,6,1,0,91181,12-01-2024,08:17,Colaba,Karol Bagh,35,2.536887155,1001.346401,1.2,2.1,Completed,30.7214781,30,0.742309916,98,35,Sunny,1,57.23206503,2,7,1,5,Morning,Other,2
46,Mumbai,09-09-2024,05:49,Theft,Dwarka,24.55530851,73.94731144,7,51,1,1,73712,05-01-2023,04:27,Colaba,Dadar,119,12.5232735,977.2200238,1.5,3.9,Completed,35.49315023,5,9.493789501,73,24,Sunny,5,41.42995937,0,7,0,1,Afternoon,Other,3
47,Mumbai,24-11-2023,23:25,Burglary,Lajpat Nagar,19.33546203,76.79222744,5,23,1,0,33900,24-02-2024,04:49,Connaught Place,Saket,32,21.74990037,1343.110935,1.2,3.3,Completed,21.02371398,10,8.752618895,34,20,Sunny,3,50.84478577,2,6,0,8,Evening,Male,2
48,Delhi,18-11-2023,17:26,Harassment,Lajpat Nagar,20.44991411,73.26387359,8,31,1,1,41107,05-01-2024,09:19,Juhu,Bandra,31,15.65081798,,1.5,2.9,Completed,23.75357418,20,3.961494896,71,24,Sunny,6,14.86080197,4,8,1,3,Night,Male,0
49,Mumbai,11-11-2024,11:48,Assault,Lajpat Nagar,28.75248556,75.27344608,6,45,1,1,66660,27-08-2024,15:03,Andheri,Lajpat Nagar,34,22.682253,872.4465732,2,1.5,Cancelled,41.97753051,0,9.061898858,90,6,Sunny,1,52.02091738,2,2,0,0,Afternoon,Other,0
50,Mumbai,14-05-2023,06:26,Theft,Connaught Place,27.26847744,73.07908889,4,21,0,1,52822,07-01-2024,22:16,Andheri,Saket,53,20.77598376,554.9884227,1,1.3,Completed,43.64137999,20,4.544471297,62,20,Cloudy,9,15.42507156,2,7,1,7,Afternoon,Other,0
51,Delhi,01-08-2023,19:17,Assault,Connaught Place,23.6515525,74.08438417,1,24,0,0,34646,13-09-2024,18:35,Dwarka,Juhu,46,18.0414013,1179.369256,2,3.8,Completed,,5,3.273262527,31,39,Foggy,2,58.68879733,4,7,0,2,Morning,Other,0
52,Mumbai,25-09-2024,10:49,Burglary,Juhu,24.68865399,77.5881502,2,8,1,1,64400,27-06-2023,13:30,Connaught Place,Lajpat Nagar,79,29.08997426,256.043641,1.5,1.5,Completed,36.22991054,20,4.366549851,96,23,Rainy,8,20.39437122,0,4,0,1,Night,Female,1
53,Delhi,04-09-2023,11:40,Harassment,Andheri,23.06998775,72.8765442,6,44,0,1,75979,08-07-2023,02:07,Bandra,Andheri,82,22.39476416,793.718298,2,2.7,Completed,34.3040097,5,8.337485277,24,43,Cloudy,6,42.6227719,4,0,0,6,Evening,Other,4
54,Mumbai,17-11-2024,03:42,Harassment,Andheri,27.14857854,75.79440537,4,9,1,1,58417,13-07-2023,00:07,Andheri,Dwarka,72,27.60917658,810.5372988,2,3.9,Completed,30.55234776,20,5.830737891,25,40,Rainy,3,35.05702347,1,7,0,9,Evening,Female,3
55,Delhi,12-03-2023,21:40,Harassment,Dadar,27.62605897,75.55772564,3,22,1,1,72038,27-07-2023,16:29,Saket,Connaught Place,104,8.780495801,1476.028408,1,4.7,Cancelled,30.82774155,5,2.563583626,24,36,Foggy,2,31.3213825,1,1,0,9,Afternoon,Male,3
56,Mumbai,25-09-2023,20:20,Burglary,Karol Bagh,27.39613709,72.72443012,7,4,1,1,73505,02-06-2023,14:49,Karol Bagh,Dwarka,5,21.98190955,1486.959882,2,4.5,Completed,43.73310116,30,1.16202117,81,39,Sunny,9,28.57474252,2,3,0,0,Morning,Male,2
57,Mumbai,11-10-2023,16:34,Fraud,Connaught Place,26.94872897,73.95587426,7,13,0,1,81210,17-12-2023,00:14,Colaba,Bandra,48,18.73848018,1208.860501,1.5,4.5,Cancelled,36.28190344,30,6.262291714,64,8,Sunny,2,26.09958093,3,9,0,8,Night,Other,1
58,Delhi,04-01-2024,17:25,Fraud,Connaught Place,21.24954773,75.37788903,2,34,1,1,11869,21-11-2023,07:10,Lajpat Nagar,Dadar,107,27.88029071,735.8727473,1.5,2.4,Completed,32.93694536,20,8.274931277,58,37,Foggy,4,21.67691846,1,3,1,1,Afternoon,Female,3
59,Delhi,08-05-2024,07:54,Assault,Karol Bagh,22.71766977,73.12307165,8,3,1,1,63800,27-05-2024,10:29,Saket,Lajpat Nagar,41,16.29268449,843.4773955,2,4.7,Completed,16.6174361,10,8.627375768,89,10,Cloudy,2,37.84621428,1,2,0,3,Morning,Female,0
60,Delhi,19-04-2023,12:31,Fraud,Dwarka,24.16829978,76.80374194,1,37,1,0,52971,18-10-2023,01:44,Dwarka,Colaba,37,9.829958613,513.6253657,1,3.7,Completed,44.19758912,10,8.317806766,25,36,Sunny,5,59.13153448,1,2,1,3,Afternoon,Female,3
61,Delhi,24-02-2023,14:18,Fraud,Andheri,22.63872291,77.83293906,10,56,1,1,37497,28-01-2023,09:42,Andheri,Saket,25,12.77549089,1253.27627,1,4.5,Cancelled,28.21026794,30,5.377613329,94,7,Rainy,2,41.96909804,3,2,0,4,Afternoon,Other,2
62,Delhi,25-02-2024,14:10,Harassment,Dwarka,27.3043422,73.2885564,7,28,1,1,54311,02-10-2023,09:14,Dwarka,Dwarka,92,8.127234552,1132.491981,2,1.4,Completed,43.02996304,0,4.088314619,35,25,Rainy,1,46.63196644,3,9,0,1,Evening,Male,3
63,Delhi,22-03-2023,05:25,Harassment,Colaba,22.62288877,73.12147179,10,26,1,1,92199,02-03-2023,00:29,Saket,Colaba,44,8.159243983,1168.566667,1,1.2,Completed,34.97451382,0,9.766325033,86,44,Foggy,3,40.98344977,0,6,1,5,Morning,Male,2
64,Delhi,06-09-2024,09:00,Assault,Dwarka,20.52055295,74.72961043,1,50,0,0,10770,01-11-2023,07:08,Colaba,Connaught Place,65,15.17180441,251.0806903,2,2.7,Completed,11.40282938,10,9.262904559,51,30,Sunny,4,33.36442429,3,1,1,3,Evening,Other,0
65,Delhi,28-09-2024,17:53,Theft,Andheri,23.38944497,76.48659166,3,53,1,1,97482,05-06-2023,09:53,Dwarka,Juhu,118,26.99192739,628.0192584,2,4.3,Completed,28.86484249,20,7.644271183,44,11,Sunny,5,49.94121554,0,1,1,6,Evening,Female,2
66,Mumbai,18-04-2024,10:48,Assault,Karol Bagh,29.77905876,73.68960366,3,46,1,1,60105,09-10-2023,12:42,Connaught Place,Connaught Place,17,7.3723416,829.1599511,1.2,2.6,Cancelled,41.24387415,10,4.585686585,54,43,Sunny,4,22.77402045,4,2,1,4,Night,Male,3
67,Mumbai,10-12-2023,14:41,Assault,Andheri,21.48469554,72.11927945,10,57,1,0,39000,23-03-2024,13:49,Lajpat Nagar,Andheri,117,10.06036034,,2,4.5,Completed,11.81232399,30,9.747925859,65,36,Sunny,2,20.02424073,0,5,0,5,Night,Other,3
68,Delhi,21-11-2024,05:43,Burglary,Karol Bagh,25.73374525,75.24732377,2,34,0,1,11559,25-08-2023,16:36,Colaba,Connaught Place,102,25.88366759,584.5033883,1,1.9,Completed,40.33546426,20,4.052078957,83,41,Rainy,2,26.11119534,0,7,1,9,Evening,Female,2
69,Mumbai,17-08-2024,03:24,Burglary,Connaught Place,23.76270355,77.73960341,10,15,1,1,62598,15-10-2024,19:55,Juhu,Dwarka,42,11.49917577,176.7771575,1.5,1.2,Completed,31.46869523,30,7.002586322,73,19,Rainy,2,36.83171219,1,2,1,5,Afternoon,Female,1
70,Mumbai,08-02-2024,18:41,Assault,Lajpat Nagar,19.78127024,74.34766113,5,8,1,0,54327,28-04-2024,15:42,Juhu,Dwarka,33,28.94757526,1440.31978,2,4,Completed,11.55845417,10,3.295927425,46,8,Sunny,6,5.005300387,2,7,1,6,Evening,Other,2
71,Mumbai,11-02-2023,13:26,Assault,Connaught Place,24.36664267,74.52080733,4,48,1,0,16982,21-10-2023,08:38,Lajpat Nagar,Karol Bagh,57,9.529767741,1139.331828,1.2,3.5,Completed,23.07594157,10,8.438942703,32,21,Foggy,3,50.93330303,1,4,0,4,Night,Female,3
72,Mumbai,18-10-2023,13:12,Assault,Colaba,26.72380762,77.8134103,6,35,1,1,28824,02-07-2023,21:03,Connaught Place,Karol Bagh,68,14.38001581,950.0847754,1.2,2.8,Completed,11.0559708,30,8.671269651,50,42,Foggy,3,21.67452277,1,9,1,3,Night,Other,0
73,Delhi,08-10-2023,20:01,Fraud,Lajpat Nagar,24.64541973,76.16764567,2,24,0,1,19147,23-10-2023,06:40,Connaught Place,Juhu,40,4.677078297,347.0418286,1.2,4.4,Completed,10.06007042,20,5.33664654,86,49,Rainy,6,38.04312121,4,7,1,9,Night,Female,2
74,Mumbai,23-02-2023,19:14,Burglary,Dadar,28.5931667,76.31503154,4,52,1,1,17078,05-01-2024,01:16,Juhu,Bandra,108,29.78092227,534.4847839,1.2,4.3,Completed,41.37487953,20,5.84066156,50,22,Foggy,1,7.884718211,0,5,0,8,Night,Other,0
75,Delhi,03-04-2023,04:39,Assault,Lajpat Nagar,22.17830718,75.37621203,7,52,1,1,95280,27-06-2024,07:32,Colaba,Saket,115,26.92397726,259.5031078,1,2.3,Completed,36.20024053,5,9.511316701,81,21,Rainy,6,28.73945944,0,4,1,5,Evening,Other,3
76,Mumbai,03-06-2023,19:32,Harassment,Andheri,19.94874088,77.84765527,1,55,0,1,95409,22-05-2024,03:51,Saket,Lajpat Nagar,9,24.89174308,,1.5,4.4,Completed,20.13152025,30,1.85013683,56,46,Rainy,5,8.734092639,1,3,1,6,Afternoon,Male,3
77,Mumbai,22-05-2023,02:38,Harassment,Karol Bagh,29.30222173,76.13319891,3,37,0,0,75853,26-05-2024,14:28,Colaba,Bandra,24,6.405589176,1239.748185,2,2.4,Completed,,10,4.978163381,41,18,Cloudy,3,5.620063859,3,4,0,7,Afternoon,Male,4
78,Mumbai,18-04-2024,18:46,Fraud,Dwarka,23.16015984,77.37019651,1,4,1,1,47212,19-11-2024,19:38,Juhu,Juhu,97,29.14202562,77.60295645,2,3.5,Completed,11.90514037,30,5.520018972,64,5,Foggy,9,48.35419851,2,9,1,0,Afternoon,Male,3
79,Delhi,19-12-2023,13:01,Fraud,Bandra,25.34046107,76.19627319,2,55,0,1,93994,11-01-2023,23:32,Lajpat Nagar,Dwarka,15,28.016236,199.7975711,1.5,1.8,Cancelled,42.10278158,30,8.256206627,34,37,Cloudy,8,27.26353264,1,0,0,2,Evening,Other,2
80,Mumbai,26-04-2024,10:39,Theft,Connaught Place,27.71203439,76.41069495,9,12,1,1,55456,18-12-2024,18:36,Saket,Saket,76,14.19880038,,2,2.1,Completed,31.89448983,0,7.889268903,81,21,Cloudy,3,49.81006435,2,8,1,7,Morning,Male,2
81,Delhi,07-07-2024,07:10,Theft,Saket,22.5674503,73.74246553,10,19,1,0,73803,10-12-2024,04:16,Andheri,Lajpat Nagar,32,21.08583683,1085.396778,2,2.8,Cancelled,15.61956107,5,6.219652885,97,36,Sunny,5,23.55252782,1,8,1,7,Afternoon,Female,4
82,Mumbai,22-02-2023,18:40,Theft,Colaba,26.87780992,73.82087219,5,15,1,1,91577,17-04-2024,12:53,Juhu,Dwarka,53,29.78883598,1346.270766,1.2,2.3,Cancelled,33.85116872,20,1.978136756,67,44,Sunny,1,40.62746981,1,3,1,9,Morning,Male,2
83,Delhi,14-06-2024,15:43,Fraud,Dwarka,20.48960735,76.6979079,4,57,1,1,32062,18-02-2023,18:10,Andheri,Lajpat Nagar,45,13.47286615,1141.867888,1.2,1.5,Completed,44.96117506,0,4.358940198,34,46,Rainy,5,10.18572553,4,0,0,7,Afternoon,Female,1
84,Mumbai,28-08-2024,02:23,Fraud,Juhu,22.20423122,73.78023774,4,30,1,1,55423,18-11-2023,09:29,Lajpat Nagar,Connaught Place,22,5.165279294,811.1739477,1,2.9,Completed,37.58095971,5,1.366463004,48,35,Cloudy,2,15.47647261,1,9,1,2,Night,Female,3
85,Delhi,21-11-2023,00:47,Fraud,Karol Bagh,20.591817,75.37662042,8,45,0,1,87716,18-12-2023,00:18,Juhu,Andheri,34,26.29781297,202.412928,1.5,3,Cancelled,25.62863074,0,1.928343626,45,42,Sunny,4,30.92172256,3,6,0,6,Evening,Other,3
86,Delhi,13-01-2023,19:56,Harassment,Bandra,27.92353614,73.49611387,3,37,1,1,23384,21-06-2024,16:07,Dwarka,Dwarka,18,15.34158332,1144.625843,1,1.6,Completed,38.49618347,5,2.651816584,41,43,Rainy,3,29.22853153,3,5,0,9,Evening,Male,4
87,Mumbai,08-02-2024,20:24,Fraud,Andheri,21.44914159,76.90190028,4,12,1,0,22128,07-09-2024,03:59,Dadar,Karol Bagh,60,29.63514474,,2,1.7,Completed,36.05073387,5,3.669768728,23,31,Cloudy,9,15.68067495,0,5,0,5,Afternoon,Other,3
88,Delhi,18-04-2023,17:32,Harassment,Bandra,26.89143911,72.66300811,2,19,1,1,22473,25-05-2024,21:12,Juhu,Dadar,77,17.42500009,554.1502899,1.2,1.1,Cancelled,13.10286192,30,4.681669526,52,21,Cloudy,5,52.89284579,1,5,1,9,Afternoon,Other,1
89,Mumbai,14-03-2024,06:54,Theft,Andheri,29.37628237,76.97667984,6,34,0,1,12366,13-07-2024,01:05,Connaught Place,Dadar,78,2.8253729,496.5876917,1.2,1.1,Completed,42.39938189,5,7.346363059,76,34,Sunny,8,20.63403755,0,9,0,5,Night,Male,3
